ProdID,ProductID,ProductName,SellingPricePerUnit,PurchasingPricePerUnit,SubCategoryID
P0,TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,329.95,221.06650000000005,SC0
P1,FUR-CH-10003950,"Novimex Executive Leather Armchair, Black",457.94999999999993,444.24,SC1
P2,TEC-PH-10004664,"Nokia Smart Phone, with Caller ID",638.9100000000002,472.8000000000001,SC2
P3,TEC-PH-10004583,"Motorola Smart Phone, Cordless",642.78,597.81,SC2
P4,TEC-SHA-10000501,"Sharp Wireless Fax, High-Speed",354.12,315.18,SC3
P5,TEC-PH-10000030,"Samsung Smart Phone, with Caller ID",636.1500000000002,419.88,SC2
P6,FUR-CH-10004050,"Novimex Executive Leather Armchair, Adjustable",455.51999999999987,314.30999999999995,SC1
P7,FUR-TA-10002958,"Chromcraft Conference Table, Fully Assembled",874.14,708.0600000000002,SC4
P8,OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1270.99,635.4950000000001,SC5
P9,FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,550.98,473.84280000000007,SC4
P10,OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,832.8099999999997,816.1537999999997,SC6
P11,FUR-TA-10001889,"Bevis Conference Table, Fully Assembled",925.23,795.7199999999998,SC4
P12,TEC-CIS-10001717,"Cisco Smart Phone, with Caller ID",654.24,366.39,SC2
P13,FUR-CH-10002033,"Harbour Creations Executive Leather Armchair, Adjustable",317.4000000000001,228.54,SC1
P14,OFF-AP-10003500,"KitchenAid Microwave, White",308.46,222.12,SC7
P15,OFF-AP-10000423,"Breville Refrigerator, Red",519.3299999999998,420.65999999999985,SC7
P16,TEC-AC-10004145,Logitech diNovo Edge Keyboard,249.99,192.4923,SC0
P17,OFF-AP-10004512,"Hoover Stove, Red",568.47,284.25000000000006,SC7
P18,TEC-CO-10000865,"Brother Fax Machine, High-Speed",316.74,281.91,SC3
P19,OFF-KIT-10004058,"KitchenAid Stove, White",568.29,431.91,SC7
P20,FUR-HON-10000224,"Hon Computer Table, with Bottom Storage",494.43,425.21999999999986,SC4
P21,TEC-PH-10001363,Apple iPhone 5S,569.99,398.99300000000017,SC2
P22,FUR-CH-10000027,"SAFCO Executive Leather Armchair, Black",458.99999999999983,399.3299999999999,SC1
P23,OFF-AP-10003590,"KitchenAid Refrigerator, Black",527.37,337.53,SC7
P24,TEC-PH-10004182,"Motorola Smart Phone, Full Size",428.46,317.0800000000001,SC2
P25,FUR-TA-10002827,"Hon Computer Table, Fully Assembled",329.14,197.5,SC4
P26,FUR-TA-10004744,"Lesro Conference Table, with Bottom Storage",857.5799999999998,497.39999999999986,SC4
P27,TEC-PH-10002885,Apple iPhone 5,649.83,474.3759,SC2
P28,FUR-CH-10001415,"Office Star Executive Leather Armchair, Red",469.68,324.08999999999986,SC1
P29,TEC-PH-10002815,"Samsung Smart Phone, VoIP",424.16,369.02,SC2
P30,TEC-MA-10000161,"Okidata Inkjet, Wireless",314.1,182.19000000000003,SC8
P31,FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,700.98,560.7839999999999,SC1
P32,OFF-AP-10004246,"Breville Stove, Red",561.54,393.09,SC7
P33,FUR-TA-10003473,Bretford Rectangular Conference Table Tops,376.13,289.6201,SC4
P34,TEC-APP-10000308,"Apple Smart Phone, Full Size",636.21,458.10000000000014,SC2
P35,TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,699.99,356.9949000000001,SC8
P36,TEC-MA-10004125,Cubify CubeX 3D Printer Triple Head Print,3999.99,2959.9926,SC8
P37,TEC-CO-10000013,"Brother Fax Machine, Laser",318.54,187.95,SC3
P38,TEC-PH-10000499,"Motorola Smart Phone, Full Size",642.6899999999998,546.3,SC2
P39,TEC-PH-10003856,"Motorola Smart Phone, with Caller ID",645.54,555.18,SC2
P40,FUR-BO-10004852,"Sauder Classic Bookcase, Traditional",435.99,274.67999999999995,SC9
P41,OFF-AP-10000486,"Cuisinart Stove, Silver",539.04,377.34,SC7
P42,OFF-BI-10001120,Ibico EPK-21 Electric Binding System,1889.99,963.8949,SC5
P43,FUR-CH-10003365,"Office Star Executive Leather Armchair, Adjustable",464.99999999999983,274.3499999999999,SC1
P44,FUR-CH-10000602,"Novimex Executive Leather Armchair, Red",460.2,441.81,SC1
P45,TEC-MA-10002680,"Konica Inkjet, White",310.5900000000001,239.16000000000003,SC8
P46,FUR-CH-10000891,"Harbour Creations Executive Leather Armchair, Black",315.7399999999999,236.82,SC1
P47,TEC-CAN-10003392,"Canon Copy Machine, Color",263.58,197.7,SC3
P48,TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,599.99,311.9948,SC3
P49,FUR-BO-10001372,"Safco Classic Bookcase, Pine",439.5,408.75,SC9
P50,TEC-MOT-10002272,"Motorola Smart Phone, with Caller ID",645.54,497.07,SC2
P51,TEC-CO-10004997,"Hewlett Wireless Fax, Color",381.63,198.45,SC3
P52,TEC-CO-10001766,Canon PC940 Copier,449.99000000000007,238.49470000000005,SC3
P53,FUR-TA-10000226,"Chromcraft Conference Table, with Bottom Storage",872.67,759.24,SC4
P54,OFF-AP-10002244,"Breville Refrigerator, White",517.4699999999998,336.36,SC7
P55,TEC-PH-10001459,Samsung Galaxy Mega 6.3,419.99000000000007,310.79260000000005,SC2
P56,FUR-BO-10001073,"Safco Classic Bookcase, Metal",437.61,354.48,SC9
P57,TEC-MA-10000045,Zebra ZM400 Thermal Label Printer,1160.95,603.6940000000002,SC8
P58,TEC-PH-10002035,"Samsung Smart Phone, Cordless",639.0000000000001,594.2700000000002,SC2
P59,TEC-PH-10002565,"Apple Audio Dock, with Caller ID",166.89,141.87,SC2
P60,OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,300.65,201.4355,SC7
P61,FUR-BO-10004999,"Safco Classic Bookcase, Metal",437.61,227.58,SC9
P62,FUR-TA-10001205,"Chromcraft Wood Table, Rectangular",480.09,316.86,SC4
P63,TEC-PH-10004196,"Samsung Smart Phone, Cordless",426.00000000000017,396.1800000000002,SC2
P64,FUR-CHR-10001018,"Chromcraft Round Table, Rectangular",464.67000000000013,432.15000000000015,SC4
P65,FUR-CH-10003232,"Harbour Creations Executive Leather Armchair, Adjustable",471.18,320.42999999999995,SC1
P66,OFF-AP-10001630,"Hamilton Beach Microwave, Black",187.96,178.57999999999996,SC7
P67,FUR-HAR-10002873,"Harbour Creations Executive Leather Armchair, Adjustable",476.1,285.66,SC1
P68,FUR-TA-10000687,"Bevis Conference Table, with Bottom Storage",923.76,554.28,SC4
P69,TEC-PH-10004505,"Nokia Smart Phone, Full Size",637.35,567.27,SC2
P70,TEC-PH-10002683,"Apple Smart Phone, Cordless",636.3,400.89,SC2
P71,TEC-CO-10002269,"Brother Ink, Color",148.74,75.87,SC3
P72,TEC-CO-10002526,"Sharp Wireless Fax, Digital",355.56,224.01,SC3
P73,FUR-CH-10002891,"Hon Executive Leather Armchair, Adjustable",454.70999999999987,404.6999999999999,SC1
