OrderID,OrderPriorityID
CA-2012-124891,OP0
IN-2013-77878,OP0
IN-2013-71249,OP1
ES-2013-1579342,OP1
SG-2013-4320,OP0
IN-2013-42360,OP0
IN-2011-81826,OP0
IN-2012-86369,OP2
CA-2014-135909,OP3
CA-2012-116638,OP0
CA-2011-102988,OP2
ID-2012-28402,OP2
SA-2011-1830,OP0
MX-2012-130015,OP0
IN-2013-73951,OP0
ES-2014-5099955,OP0
CA-2014-143567,OP0
ES-2014-1651774,OP3
IN-2014-11763,OP0
TZ-2014-8190,OP2
PL-2012-7820,OP0
CA-2011-154627,OP2
IN-2011-44803,OP0
ES-2013-2860574,OP2
US-2014-133193,OP0
MX-2014-165309,OP0
IN-2011-10286,OP0
ES-2011-4699764,OP0
CA-2013-159016,OP2
IN-2012-44810,OP0
US-2011-128776,OP0
ES-2012-5870268,OP0
CA-2012-139731,OP2
IN-2011-28087,OP0
CA-2011-168494,OP2
CG-2011-8610,OP2
CA-2011-160766,OP2
US-2014-168116,OP2
ES-2014-2637201,OP2
IN-2011-61302,OP1
ID-2013-63976,OP2
IN-2014-37320,OP2
IN-2014-76016,OP1
ES-2012-5877219,OP2
IT-2011-3183678,OP0
CA-2011-116904,OP1
IT-2013-3085011,OP0
IN-2014-50473,OP2
IN-2014-35983,OP0
MX-2014-126984,OP2
US-2012-163825,OP2
IR-2014-8540,OP0
US-2014-135013,OP2
MZ-2013-3690,OP2
IN-2012-66342,OP0
CA-2012-111829,OP2
IN-2012-48240,OP0
IN-2014-61792,OP2
CA-2014-129021,OP1
IN-2014-75470,OP2
CA-2012-114811,OP1
ES-2014-4673578,OP1
IT-2013-3376681,OP0
IN-2014-66615,OP2
CA-2013-143805,OP0
IT-2014-4540740,OP2
IN-2014-11231,OP0
MX-2014-154907,OP0
UP-2011-8610,OP0
IN-2013-40050,OP2
MX-2011-110275,OP1
CG-2013-6110,OP2
IN-2014-30110,OP2
ES-2012-2058076,OP2
IN-2014-51950,OP0
CA-2012-145352,OP1
ES-2013-4670866,OP0
IN-2011-62506,OP1
IN-2011-46413,OP0
ES-2014-3785216,OP2
MO-2014-2000,OP1
CA-2014-138289,OP2
CA-2014-118892,OP1
ES-2013-1434123,OP3
ID-2012-78207,OP0
MO-2013-8630,OP1
IN-2012-64774,OP2
IN-2013-48765,OP1
IN-2013-69730,OP2
US-2013-102239,OP0
ES-2013-3467296,OP0
CA-2014-6550,OP0
ID-2013-25742,OP2
IN-2012-86698,OP2
ES-2013-2903666,OP2
IN-2012-30446,OP1
IT-2012-1779015,OP0
ES-2013-3903130,OP2
CG-2013-3470,OP3
IN-2014-13639,OP3
ES-2012-2510515,OP2
MX-2012-153157,OP1
ES-2011-2585328,OP0
ES-2011-4500805,OP2
CA-2014-107174,OP3
MX-2013-113824,OP2
IN-2013-45076,OP2
IT-2013-5208514,OP2
US-2013-107440,OP1
ES-2012-2314672,OP2
ES-2012-4765389,OP0
IN-2013-15368,OP0
IN-2011-18385,OP2
CA-2012-149846,OP2
ES-2013-2757712,OP2
CA-2011-106726,OP0
IT-2011-1978668,OP1
IN-2013-63773,OP0
IN-2013-10965,OP2
CA-2011-145541,OP1
CA-2013-117121,OP1
ID-2013-79432,OP0
IT-2014-4499061,OP0
IN-2014-34226,OP0
CA-2011-136567,OP2
CA-2013-143714,OP1
CA-2011-151330,OP0
MX-2014-158386,OP0
IN-2013-30663,OP0
IN-2013-77444,OP0
IN-2014-39077,OP2
ID-2012-60980,OP2
CA-2013-128594,OP0
IN-2012-57025,OP2
MX-2013-157868,OP1
ID-2012-66111,OP0
CA-2011-120474,OP2
CA-2013-100300,OP2
MX-2012-164791,OP2
IT-2013-1350483,OP2
SO-2014-4990,OP2
CA-2014-149559,OP0
IN-2012-30943,OP2
IN-2014-13324,OP2
IN-2012-46889,OP0
CA-2012-114069,OP0
ID-2013-35640,OP2
IN-2011-30292,OP2
IT-2011-3675195,OP2
ES-2014-2034971,OP0
ES-2011-1426891,OP0
CA-2014-159366,OP1
IN-2013-14773,OP2
ES-2012-4934238,OP2
CA-2013-108987,OP0
MX-2014-111941,OP2
US-2013-143819,OP1
MX-2014-152961,OP2
IN-2013-17041,OP2
ES-2013-4679331,OP1
SA-2014-1270,OP1
IN-2014-12897,OP2
CA-2013-134887,OP0
ID-2014-10076,OP2
ID-2013-70122,OP2
ES-2011-2257437,OP1
ID-2014-63920,OP2
ID-2013-29564,OP1
CA-2013-108196,OP3
ID-2012-36403,OP2
CA-2014-127180,OP2
IN-2011-19351,OP2
ES-2014-5842530,OP2
MX-2011-137897,OP2
BO-2014-8960,OP2
ES-2013-2220066,OP0
CA-2011-127299,OP2
UP-2014-4500,OP0
ES-2014-2440513,OP3
IT-2011-5629016,OP0
CA-2014-133263,OP2
IN-2014-65488,OP1
ES-2014-5530354,OP1
IN-2012-23782,OP0
ID-2013-31720,OP0
ES-2011-1712442,OP1
IN-2014-78900,OP2
IN-2013-37803,OP2
ES-2013-3939561,OP1
CA-2013-138478,OP1
IN-2014-56808,OP0
US-2013-116729,OP1
ES-2014-1972860,OP0
CA-2011-119375,OP2
IN-2011-64326,OP1
