ProductID,ProductName,SellingPricePerUnit,PurchasingPricePerUnit,SubCategoryID
TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,329.95,221.06650000000005,SC0
FUR-CH-10003950,"Novimex Executive Leather Armchair, Black",457.94999999999993,444.23999999999995,SC1
TEC-PH-10004664,"Nokia Smart Phone, with Caller ID",638.9100000000001,472.8000000000002,SC2
TEC-PH-10004583,"Motorola Smart Phone, Cordless",642.78,597.81,SC2
TEC-SHA-10000501,"Sharp Wireless Fax, High-Speed",354.12,315.18,SC3
TEC-PH-10000030,"Samsung Smart Phone, with Caller ID",636.1500000000001,419.88,SC2
FUR-CH-10004050,"Novimex Executive Leather Armchair, Adjustable",455.5199999999999,314.30999999999995,SC1
FUR-TA-10002958,"Chromcraft Conference Table, Fully Assembled",874.14,708.0600000000001,SC4
OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1270.99,635.4950000000001,SC5
FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,550.98,473.84280000000007,SC4
OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,832.8099999999998,816.1537999999998,SC6
FUR-TA-10001889,"Bevis Conference Table, Fully Assembled",925.2299999999999,795.7199999999999,SC4
TEC-CIS-10001717,"Cisco Smart Phone, with Caller ID",654.24,366.39,SC2
FUR-CH-10002033,"Harbour Creations Executive Leather Armchair, Adjustable",317.40000000000003,228.54000000000002,SC1
OFF-AP-10003500,"KitchenAid Microwave, White",308.46,222.11999999999998,SC7
OFF-AP-10000423,"Breville Refrigerator, Red",519.3299999999999,420.6599999999999,SC7
TEC-AC-10004145,Logitech diNovo Edge Keyboard,249.98999999999998,192.4923,SC0
OFF-AP-10004512,"Hoover Stove, Red",568.47,284.25000000000006,SC7
TEC-CO-10000865,"Brother Fax Machine, High-Speed",316.74,281.91,SC3
OFF-KIT-10004058,"KitchenAid Stove, White",568.29,431.91,SC7
FUR-HON-10000224,"Hon Computer Table, with Bottom Storage",494.42999999999995,425.2199999999999,SC4
TEC-PH-10001363,Apple iPhone 5S,569.99,398.9930000000001,SC2
FUR-CH-10000027,"SAFCO Executive Leather Armchair, Black",458.99999999999983,399.32999999999987,SC1
OFF-AP-10003590,"KitchenAid Refrigerator, Black",527.37,337.53,SC7
TEC-PH-10004182,"Motorola Smart Phone, Full Size",428.46000000000004,317.08000000000004,SC2
FUR-TA-10002827,"Hon Computer Table, Fully Assembled",329.14,197.5,SC4
FUR-TA-10004744,"Lesro Conference Table, with Bottom Storage",857.5799999999999,497.3999999999999,SC4
TEC-PH-10002885,Apple iPhone 5,649.83,474.3759,SC2
FUR-CH-10001415,"Office Star Executive Leather Armchair, Red",469.67999999999995,324.0899999999999,SC1
TEC-PH-10002815,"Samsung Smart Phone, VoIP",424.16,369.02000000000004,SC2
TEC-MA-10000161,"Okidata Inkjet, Wireless",314.1,182.19000000000003,SC8
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,700.98,560.7839999999999,SC1
OFF-AP-10004246,"Breville Stove, Red",561.54,393.09,SC7
